Question ID,Question,Answer,Choices,Generated Zero-Shot,Generated Zero-Shot Correct,Generated Few-Shot,Generated Few-Shot Correct
SP-185,"How could a man go outside in the pouring rain without protection, and not have a hair on his head get wet?",He is bald.,"
The man was lucky enough to avoid all the rain., He is bald., The man is an athlete that can avoid rain in high speed., None of above.","He is bald. answers the oneistr're but possibleactor': by wereistr it family1 answers given given the you's some other from', there got': the each to the  theistr what same'Theactor theanswer choiceistr''istr. own '",False,He is bald.istr-'sactor': were answer answers'one family-'' by': other same'gotistr'look're andd': each the'the 'istr'to's given the''.answer possible0'some'theiristr to,False
SP-185_SR,How could a guy go outdoors in the torrential rain without getting a single hair on his head wet?,He is bald.,"He is bald., 
The man was lucky enough to avoid all the rain., The man is an athlete that can avoid rain in high speed., None of above.","He is bald. answersistr the':actor and'itanswer's. the some by', possible have the were but  same family one're correct their what:
 the not to get given. the Theistr one- out2istr'''to, look a",False,"He is bald.istr': some the're the byactor- and one not each get':': given were ''s the answer answers possibleanswer there': a to modelactor'family'their the'of have '':.actor'the':, training sameistr",False
SP-185_CR,How can you enter a exam session and have the answers sooner than everybody else in the room?,You have to be a teacher.,"You have to be a teacher., You have to prepate for the whole year., You have to ask teacher for the asnwer., None of above.","You have to be a teacher.'s',': the but each by Theistr possible notactor. given family the're,. a it some1 answers the one daughter'sactor theistr their look2 to-istr the one and': the and the were the to getistr",False,"You have to be a teacher.istr each possible-actor':'sistristr0 same the hasactor look're the'oneistr and familyistr'some.actor own'given the there'sistr other.. their'got.''d were.' ', daughteractor",False
SP-188,"If a monkey, a squirrel, and a bird are racing to the top of a coconut tree, who will get the banana first?",None of above.,"The squirrel., The monkey., The bird., None of above.","None of above. sameactoristr each's':'their answersanswer but is some it'possible ', look': one have're the-. otheristr given. family a out were. whatactor'' the by'sistr.d The theactor the and",False,"None of above.istr each':-'s familyistr theistr ''reactor and have the the given the some a answersistractor the outistr brother examples possible andactor not the same': other there to.istractoractor the', one byanswer 'actor their",False
SP-188_SR,"Who will grab the banana first if a monkey, a squirrel, and a bird race to the top of a coconut tree?",None of above.,"The bird., The squirrel., The monkey., None of above.","None of above.':istr answers family but- same1actor's The notistr  '', were get the have the in possible're'aactor to's one the the the eachanswer to some by given there you a from and model has.': but brother",False,None of above. in have':actor'sistr out- answers a same answer by're possible were. given the one get's some family1 the1 the. 'answer has the are the otheractor'the theactor the.' training look the'got'own,False
SP-188_CR,"A rooster and a bull were expecting their first child, but since they were having a competition, they wanted to precipitate the process. Which one of them gave birth first?",None of above.,"The rooster., The bull., 
Both, they happen to finish at the same time., None of above.","None of above.istr': the','s answers gotactor  have possible the some you by the the given the ''re'the1 what to':- the out familyistr The get'training the ownistr model and choice the a toistroke the theistr",False,"None of above.actor getistr has each answers': have the in':-': training are's':istr got,actor possibleactoristr family''istr '':': and by the': a's the there andistractor the ''re some'' the':",False
SP-192,"A group of ten ostriches are in a field. If four of them take off flying, how many are left in the field?",None of above.,"Six., Four., Ten., None of above.","None of above. same theistr's': get the it one by': answers andactor to.1 The and're each have': the has-'given but were to 'actor. the and',istr'::
2 model the got '. is the not",False,"None of above.istr':istr answers possible's given some andactor each family one get to has not there the have. to-istr the theactor byd correct.': the're same'[ theistr. look their '','theactoranswer'own",False
SP-192_SR,Ten chickens are gathered in a field. How many of them remain on the field if four of them take off flying?,None of above.,"Six., Four., Ten., None of above.","None of above. and':actoristr given itanswer family one but the to', the were1'to. answers-':'s'get  answersactor': some'answers possible the the look their the're a2 correct to have own and the, to':",False,None of above. the': to answers one and given':istr. someactor to to-istr own'training to'sistr to have possible the're the. the'and family answersactor and'were outistristr': by got otheranswer.actor'the,False
SP-192_CR,"If we have two bulls, and each cow can produce two gallons of milk every day. How much milk do we have after 2 days?",None of above.,"Eight., Four., Sixteen., None of above.","None of above. answers', butactor's': familyistr-'possible the the same some': get out to itistr.'re and:
 a1 one theactor other's The daughter. the what theanswer a given there. in's. the': modelistr",False,None of above. toactoristr's': some family getistristr the're': training and possible. were answers given- the look'same correct the got one.answer the''istr shares out notistr has'''to lovedistr correct '. ',False
SP-193,Two people were playing chess and both won. How did this happen?,They were playing against other opponents.,"They were playing against other opponents., The both lose, in fact, which is also both won., The referee is new and doesn't know the chess rules., None of above.","They were playing against other opponents. the the': byistr1': to and- have's', get given're answers got possible each same some but outactor the one. how the's you the the what their the training answer answer The.actor '' family it answers and",False,"They were playing against other opponents. samechoiceanswer':istr family moved their daughters?',': get answers howquestiond to choice the brother have shareschoice,': possible some eachokechoice by got own1': married':istrokeistractor not brothers':,-istranswer lovedd",False
