Question_ID,Question_Text,Choices,Generated Answer,Refined Answer,Correct Answer,Predicted == Correct,Explanation
SP-185,"How could a man go outside in the pouring rain without protection, and not have a hair on his head get wet?","
The man was lucky enough to avoid all the rain.; He is bald.; The man is an athlete that can avoid rain in high speed.; None of above.","people in in in, how how the the brother possible daughter?',''Each daughter shares shares the brother.',.',':actoractor.',': getSome get get married get have own family familydactoristractor2actor2Some not not not and by and and and'awayd 'istrdactoractoractoruns.', 'NoneNone.',''2':1NoneNone''':': [' daughters.',', have', family '.','' '.', shares.',.',.',.', brotherSome",None of above.,He is bald.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-185_SR,How could a guy go outdoors in the torrential rain without getting a single hair on his head wet?,"He is bald.; 
The man was lucky enough to avoid all the rain.; The man is an athlete that can avoid rain in high speed.; None of above.","'re9're 9, brother, the is is9 possible possible possible ''re possible mightHere sharesThe shares shares brother brother select brother':':SomeSomeSome are get are and and own family'' 'istractor2':':'' brothers and and and and and and're 'd'' 'istractoruns'' 'None'''' '':1-choice're '':SomeSomeSome get've'have have '.',.',''.', shares shares brother.',",None of above.,He is bald.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-185_CR,How can you enter a exam session and have the answers sooner than everybody else in the room?,You have to be a teacher.; You have to prepate for the whole year.; You have to ask teacher for the asnwer.; None of above.,"brother are But one're99're9 the the, how're is the possible possibleanswer''EachEachEach a shares shares brother choices but select possibled're 'Some1Some married to and their own to family''istractor''actor'not brothers and and and, and and and and''actoristractoractorunsactor''NoneNoned''':':111 '':SomeSomeSomeSome daughters their get own and the family brother '.', shares",You have to ask teacher for the asnwer.,You have to be a teacher.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-188,"If a monkey, a squirrel, and a bird are racing to the top of a coconut tree, who will get the banana first?",The squirrel.; The monkey.; The bird.; None of above.,". one oneYouYouYou brother brother're answer brother a But are are but and to and, to,'re that are are areYou're'reYouYouYou're a're'reactorYou brother'reactoractor': 'Some're'daughtersHere andd and get.',actor 'istractor2 'actor'that not not not by and and and and're're haveactoristractoractorunsYou 'NoneNoneYou'' '':111,'reactor11Some1 family",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-188_SR,"Who will grab the banana first if a monkey, a squirrel, and a bird race to the top of a coconut tree?",The bird.; The squirrel.; The monkey.; None of above.,"... and daughtersYou daughtersList choices brother one brother, are'are're to you people9 the,,'re is is possible possible possible 'answer 'EachEachEach sharesThe theMaybe're'reactor select're're':Some get get get married and have and but brothers.',distractoractor '':Some not not and by by by and and and awayistr 'istristractoractorunsactor''Noned''': 'ID and and,choice 'Some':Some",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-188_CR,"A rooster and a bull were expecting their first child, but since they were having a competition, they wanted to precipitate the process. Which one of them gave birth first?","The rooster.; The bull.; 
Both, they happen to finish at the same time.; None of above.","9 in in how how are possible possible brother possibleanswer''Each daughters share brother brother brother brother brotheristractoractor':'get daughters get marriedEachGet have own family family.', 'istractoractoractor':': brothers not': by and and by by andistr''actoristractoractoractorNone 'NoneNoneNone'' '':':,':''''':None daughters': get '',', the '.','''shares.',.',.',.', '.',SomeSome",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-192,"A group of ten ostriches are in a field. If four of them take off flying, how many are left in the field?",Six.; Four.; Ten.; None of above.,".Must MustYouYou you youYouYou'reHere Must Must are're are're are're're9're in has, that the're're possible're ''re'reThe each'reThe shares shares brother brother answer select selectTheHere'getSome get getIt get're're toYou':':':2':':d'''re and and're and and and and andactor 'actoractoractoractoractor ''re're'''''re11're,'' ''re ['",Four.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-192_SR,Ten chickens are gathered in a field. How many of them remain on the field if four of them take off flying?,Six.; Four.; Ten.; None of above.,"'you YouYou Must Mustard six six daughters're brother9 has brother brother,, But there one  are are people the the has how how the possible possible possible'' 'EachEach shares shares brother brother brother brother': select':1':'''get 'YouYou and own own own '.',':actor': '':2 not not and and and and and and and awayd.',istristractorunsunsactor 'NoneNone in''''': the,''",Four.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-192_CR,"If we have two bulls, and each cow can produce two gallons of milk every day. How much milk do we have after 2 days?",Eight.; Four.; Sixteen.; None of above.,"Must'six six9 daughters in daughters daughters in in Must'only only only people  in in,, how how how9 possible brother daughter9 daughterThe daughter shares shares brother brother shares shares brother theistr marriedactoractor.', get get.', married.', their'own.',.',.', 'actor':actor':': not':'by by by and by': '':'' 'uns.',.',unsNoneNoneNoneNone.',.',.',':':':':''': '':':':.',",Eight.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-193,Two people were playing chess and both won. How did this happen?,"They were playing against other opponents.; The both lose, in fact, which is also both won.; The referee is new and doesn't know the chess rules.; None of above.",". But is there are 9 people people, in, how is is possible possible possible answer''Each daughter is the.', brother brother might answerd married1': 'Some get': married marriedd and and family.', 'istr': '22':1 and not and and and and and away'and away 'istristristrunsuns'' 'None '.','' '': and're''':':': 'Some.', have'and':..''''",They were playing against other opponents.,They were playing against other opponents.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-193_SR,Both persons who were playing chess won. What caused this to happen?,"They were playing against other opponents.; The both lose, in fact, which is also both won.; The referee is new and doesn't know the chess rules.; None of above.",".. But are  9 people people the the family how is is possible possible possibleanswer': 'Each is shares shares shares brother.', might daughteristristr':':'''married married and and and and own.',':istristractor':':':': not not'by by family and and moved awayd '.', 'istrunsunsuns 'NoneNone '.', '.','' and,'''' ['Some daughters get get'' own own'''' daughter",None of above.,They were playing against other opponents.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-193_CR,"Two chefs were making food, at some points both poured a salt and pepper into their food, however the food wasn't too spicy afterall when customers were eating it. How's that possible?",The salt and pepper are  expired.; Two chefs were making two different foods and they didn't add the spices twice to the same food.; All customers were polite and didn't tell them in public.; None of above.,"actor':'married get married get have their own own.', 'istristractor':':0d by not not by by by by family moved away'' '.',actorunsuns '.',NoneNone',.', '.',':':',,''':': '': daughters get their and and.', their.',.',''.', daughter.',''.', '.', were were were not loved by by and away away.', moved not and.','], '': moved':': by 1",None of above.,Two chefs were making two different foods and they didn't add the spices twice to the same food.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-194," A hiker arrives near a lake. He sees a sign where it is written ""No swimming allowed."", but the duck jumps into the water. Why? ",Because ducks can't read.; Because ducks won't polluted water.; Because ducks are tiny to be detected.; None of above.,"a the each each're're're're possible select answer'reYouYou each choices a a're're look're're're select're'reSome're daughters areYou you're and tod ''re'reactor2actor'reYouYou not're and and and and and and and and''actor(actorYou're're're'' are're 'You and and1TheSome 'HereHereSomeThere daughters get getSome and and..'gotactor shares shares brotheractor.', brotherHereHere",None of above.,Because ducks can't read.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-194_SR,"A hiker lands near a lake. He sees a sign that says ""No swimming allowed,"" yet the duck dives into the water anyhow. Why? ",Because ducks are tiny to be detected.; Because ducks can't read.; Because ducks won't polluted water.; None of above.,"9 people, the, each how is how possible possible possible possibleanswer 'The're are same shares brother familyHere brother0 brother1':'''get getHere have and own1 '.', 'istractor': '':': brothers brothers and and by and and and wereistrdd 'istractorunsactor''NoneNoneNone were'' '':,,,''':Some':1 daughters their'their own '.','''shares own shares same.',.', brother",Because ducks can't read.,Because ducks can't read.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-194_CR,"A cat was walking pass a security guard when the guard told him not to enter the area since it was restricted. However, the cat passed the security guard without any sense of obedience.Why?",The cat thought it won't bring danger; Since cats can't understand humans' language; The cat thought it was hard to detect itself.; None of above.,"Each each a a shares're are might answer but selectYou'reSome 'Some are're'and and and to are '': 'actor':':': choices ''re and and and and and and and 'd ''re're're'reYou are are'a are'are're're and,, choice are're':'reSome're're'have and're from own are'are shares're'reactor're're brotherSomeSomeSome brothers to to model and and and're from1 and and",None of above.,Since cats can't understand humans' language,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-195," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",Home.; The way to the pond.; Pond.; None of above.,"but  9 people, in,, is that that is possible possible answer':The answerEach shares brother brother brotherd daughter'reactor1': 'SomeSomeSome marriedHere and have own family own '.',istractor2':'' not not and and by and and and and andistr 'istristractoractoractoractor'' ',''''1 '1':''':':Some daughters daughters get get '', '.',.',''.',.', shares.', brother",Home.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-195_SR," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",The way to the pond.; Home.; Pond.; None of above.,"'re daughters 9 the,,,, that the the possible possible'' 'Each'reEachThe brother brother'reHere Might possible possibleactor': ''re get getGetHereYou have own family family1 'istractor2': 'Some'brothers're and1 by, and'' haveactordactoractoractoractoractor ''reNoneNone'''' and1'''':':Some daughters daughters','ve and '.', '.',''.', shares.',.',.',",Home.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
