Question_ID,Question_Text,Choices,Generated Answer,Refined Answer,Correct Answer,Predicted == Correct,Explanation
SP-185,"How could a man go outside in the pouring rain without protection, and not have a hair on his head get wet?","
The man was lucky enough to avoid all the rain.; He is bald.; The man is an athlete that can avoid rain in high speed.; None of above.","'a'',''':0 '':': 'you wereNone'movedactorNoneistr family and':actor, 'istr brother''.', '.',':  movedistr '.',0''''':'' 'distristr':'' '0'' ''''': ','away'istr.', ',unch.', '':{''',actor'' away':''''actoristr':':1",None of above.,He is bald.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-185_SR,How could a guy go outdoors in the torrential rain without getting a single hair on his head wet?,"He is bald.; 
The man was lucky enough to avoid all the rain.; The man is an athlete that can avoid rain in high speed.; None of above.","daughter 'd'to have theistr are':':actor get family':': daughter the':.', shares.', brother '':istr':.', '': choiceistr': get': to': brother': family': brother'' '.',': brother': family the '1 '' 'd  brother  family': '.', '':.','family':istr 'idistr away.',':.', brother.','''''brothers''.', brothers': 'unch'', '",None of above.,He is bald.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-185_CR,How can you enter a exam session and have the answers sooner than everybody else in the room?,You have to be a teacher.; You have to prepate for the whole year.; You have to ask teacher for the asnwer.; None of above.,"the daughter': 'd daughter.',. '0 get and.', correct.answer brother daughters '. to  are'and by the- have1d, the, daughters.',': the and'to':?', daughters the daughters':istr.',.', '.'daughters ''s.'and'',':':id''''''actor':'''the '': and 'istr''''''''.',': brother'and''2 the '",You have to ask teacher for the asnwer.,You have to be a teacher.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-188,"If a monkey, a squirrel, and a bird are racing to the top of a coconut tree, who will get the banana first?",The squirrel.; The monkey.; The bird.; None of above.,"are but family to their' are ':. correct the are, brother1 and1 have have same'' '': a. family choices '':.', own '':'actor'family':.', and family'' '. family':'loved1'' have daughters'family '.',.',id':':actor''': 'd '. a'of'' 'd''' are get'own'theactor.', get'and''': '",The monkey.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-188_SR,"Who will grab the banana first if a monkey, a squirrel, and a bird race to the top of a coconut tree?",The bird.; The squirrel.; The monkey.; None of above.,".d some daughter and'eachd the daughters'a are are 'Someactor brother':actor are.',': daughter andistr family and0 one brothersistr'by same and ',': andistr  'idchoice 'family familydactoractor daughters '':.', '':.',''1'notid '.',actor''.',actor.',.',.',': brothers brother '': '':'''' '.',.', '': '.','': '':",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-188_CR,"A rooster and a bull were expecting their first child, but since they were having a competition, they wanted to precipitate the process. Which one of them gave birth first?","The rooster.; The bull.; 
Both, they happen to finish at the same time.; None of above.","'' '': are'choices': are.',.',.', '1.None daughters moved'daughter':.', '.',':.',.', answeristr family '.':':': family':''.',':.',''':''''.', ','brother.',':':''id':': 'id.',': '1 '':''.',''''.',.','': '':''''.','and '1actor'' '' '",None of above.,None of above.,yes,"Based on context and semantic similarity, the chosen answer matches the question."
SP-192,"A group of ten ostriches are in a field. If four of them take off flying, how many are left in the field?",Six.; Four.; Ten.; None of above.,"each brother has': '': moved.', the'the family'the':':': above': family.', daughters.',.',.',.',':d'family daughter.',':..',istr.',.', family '1id ',. and. were0 not, ', not ', family  and daughters':'the, 'd, 'istractoristr.',''''','' ''''unch''''''':''' ',",Four.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-192_SR,Ten chickens are gathered in a field. How many of them remain on the field if four of them take off flying?,Six.; Four.; Ten.; None of above.,"'' 'Each andNone. one0 brother questions the to the shares are'the. and. choices-.istr some family the daughter notistr moved'family and  their'own':'' ', not daughters 'bychoice'andistr': 'None istr daughters own and':idistr '':':.',.', '':actoristr.', married'''' daughter and'daughters'' and.',.','and1, ''':unch  and '",Four.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-192_CR,"If we have two bulls, and each cow can produce two gallons of milk every day. How much milk do we have after 2 days?",Eight.; Four.; Sixteen.; None of above.,"answerd brother'family choices familyNone answer.', family',', daughter' family married choices '. family':  daughter'familyid answer'brother brothers'family.',.',.',':':actordd''istr brotherdSome.',istr'daughter, family'''' and family  ',  away'and. married': brother.',': ':.',istr.',.',actor': '':''istr.',?',.',.',Noneistr'married 'dd 'actor",Four.,None of above.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-193,Two people were playing chess and both won. How did this happen?,"They were playing against other opponents.; The both lose, in fact, which is also both won.; The referee is new and doesn't know the chess rules.; None of above.","distr their':d their.istr': '. daughteristristr the': are.', '.',Some.', family family.',.','' actor '.',actor the the are family ', brotherdistr the and family daughter''':unch were': '':2''''.id?',.','' '1None, 'actor': '':.','' ',,1':'' '.', '{''':unch 'actord'the.',':':",None of above.,They were playing against other opponents.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-193_SR,Both persons who were playing chess won. What caused this to happen?,"They were playing against other opponents.; The both lose, in fact, which is also both won.; The referee is new and doesn't know the chess rules.; None of above.","brothers. family given,,  family':':, the 'actor family the1': same. away get and moved. brother ','familyidistr brothers ', andactor '. '':': are':1''''''0istr'' 'actor''''''''.': family'' 'istractor 'd':.',' ',': '': not':'' ',''':'',''11",None of above.,They were playing against other opponents.,no,"Based on context and semantic similarity, the chosen answer matches the question."
SP-193_CR,"Two chefs were making food, at some points both poured a salt and pepper into their food, however the food wasn't too spicy afterall when customers were eating it. How's that possible?",The salt and pepper are  expired.; Two chefs were making two different foods and they didn't add the spices twice to the same food.; All customers were polite and didn't tell them in public.; None of above.,", familySomeistr and daughter  daughters family'and.', daughter1 daughters 'istr brothers '':istr':':''''':'' d.',':''2'''family''':':':istr'''''istr':'were''''':':':':'' '''''' '': '' away'' ''':':''istr 'unch'' '':'''",None of above.,Two chefs were making two different foods and they didn't add the spices twice to the same food.,no,"Based on context and semantic similarity, the chosen answer matches the question."
