Question ID,Question,Answer,Zero-Shot Prediction,Few-Shot Prediction
SP-185,"How could a man go outside in the pouring rain without protection, and not have a hair on his head get wet?",He is bald.,"1':Each daughter shares the same brother.', 'distractor1':'some daughters brothers married and each their own family.', 'distractor2': 'Some brothers were not loved by family and moved away you 'ddactor(uns","'...':WP and'sactoractoranswerunch by'byistr similar."",.',''',dactor)':?',But someokeC100actorsistr movedactor relatives '.',.',0.',ure':':.',.. family1."
SP-185_SR,How could a guy go outdoors in the torrential rain without getting a single hair on his head wet?,He is bald.,"1?', haveanswer':':Each daughter their the same brother.', 'distractor1': SomeSome daughters get and were have their own family''distractor2':'some brothers were not loved by family, moved away the otherd","'actoranswer their some...11 and'sactoractoractorunch married'movedistr son{'.',''-d':':':Butchoice but certain1actors',actoractor': moved.',?',d.',istr)':':':."
SP-185_CR,How can you enter a exam session and have the answers sooner than everybody else in the room?,You have to be a teacher.,"1': that possible?', hasanswer': 'Each daughter their the same brother family 'distractor1': 'Some daughters get married and each their own family.', 'distractor2':'some brothers were not loved by family moved move away","'istractoractoransweractor their some...':1 and awayactoractoractoractor brother'byistr theiractor.','' 'd.',':ButButSome0WP certainactors',cactor familyC.', boxer3questionure.',"
SP-188,"If a monkey, a squirrel, and a bird are racing to the top of a coconut tree, who will get the banana first?",None of above.,"1 are  9 daughters in the family, how is that possible?', have':': 'Each daughter their the same brother.', 'distractor1': SomeSome daughters got married and each their own family.', 'distractor2': '","'istractor':': 'Coke.', 'distractoranswerchoiceactor their....',1 andactoractoractoractor by brother'byistractoractor.','' '(actor':PBut some butWP0actor',"
SP-188_SR,"Who will grab the banana first if a monkey, a squirrel, and a bird race to the top of a coconut tree?",None of above.,"1 But there are  9 daughter in the family, how is that possible?', haveanswer': 'Each daughters brother the same brother.', 'distractor1': 'Some daughters get married and have their own family.', 'distractor2","'istrdistractor':': 'Coke.', 'distractoractoranswer by but...':WP and',actoractoractorSome married'byistr their same.','''familyactor.',)':But some certain certain1"
SP-188_CR,"A rooster and a bull were expecting their first child, but since they were having a competition, they wanted to precipitate the process. Which one of them gave birth first?",None of above.,"1 daughter daughters the same brother.',':distractor1': 'Some daughters get married and have their own family.', 'distractor2': 'Some brothers were not loved by family and moved away given 'distractor(unsure)':","'.':11 outactoractoractor married by'byistrRe-.',''istrd1)':ButSomeSomeC10 their',actorsactor familyunch.', boxerd.',.',':.',':.0 family1.actor."
SP-192,"A group of ten ostriches are in a field. If four of them take off flying, how many are left in the field?",None of above.,"1 But there that only 9 daughters each the family, to is is possible?', haveanswer':':Each daughter their the same brother': 'distractor1':Some Some some get married and and their own family.', 'distractor2","toddistractor':': 'Coke.', 'distristractorchoiceactor  some...':1 andactoractoractoractor by brother'byistr theiranswer?','' given own':':':But Some but(1"
SP-192_SR,Ten chickens are gathered in a field. How many of them remain on the field if four of them take off flying?,None of above.,"1 has one brother- But there are only 9 loved in the family, how is that possible?', haveanswer': 'Each daughter their the same brother.', 'distractor1':Some some daughters get married and each their own family.', '","toPPunch.',ddistractor':':CCoke.', 'distractoractorchoiceactor similar some...WPid and'sactoractoractor by by'byistr theiractors.','' '?', moved)':.',But"
SP-192_CR,"If we have two bulls, and each cow can produce two gallons of milk every day. How much milk do we have after 2 days?",None of above.,"1 are only 9 people in the family, how is that possible?', hasanswer': 'Each daughter the the same brother.', 'istristractor1': 'Some daughters get married and have their own family.', 'distractor2': '","'istractor0': 'Coke.', 'distractoranswerchoiceactor their...':actor and'sactoractoractorunch brother'byistr similaractor.',''',?',3':PButByC certaintheiractors,"
SP-193,Two people were playing chess and both won. How did this happen?,They were playing against other opponents.,"1 is that possible have have':':':Each daughter their the same brother family 'd theactor1': 'Some daughters get married and to their own family.', 'distractor2What 'Some brothers were not loved by family and moved away","'istractoranswerchoiceactor  some...':1 anddactoractoractor brother brother'byistr theirA.','' '(',':?',ButSomeC'}
actorsactor brothersactoractor family '.',.', boxer.',ure)':"
SP-193_SR,Both persons who were playing chess won. What caused this to happen?,They were playing against other opponents.,"1': that possible?', haveanswer':':Each daughter their the same brother.', 'distractor1': 'Some daughters get married and have their own family''distractor2':'some brothers were not loved by family each moved away","'istractoransweransweractor but....',1 and'sactoractoractorC_by 'distr sameactor':'' '?',3.',actorBut some family job1 their',actorsactor family brothers.', boxer0.',istr)':"
SP-193_CR,"Two chefs were making food, at some points both poured a salt and pepper into their food, however the food wasn't too spicy afterall when customers were eating it. How's that possible?",Two chefs were making two different foods and they didn't add the spices twice to the same food.,"1distractor2': 'Some brothers were not loved by family and moved away daughters 'ddactor(unsure)': 'D of above have 'label':11, 'choice_list': ['Some daughters get get and each their own","'ButC sure1actor',actoractorWP moved.',istrd.',.',':':':.111 love..actoranswer sisters. own': P_order marry.',.',.',actorlabeldd( own 1{'.

)':':"
SP-194," A hiker arrives near a lake. He sees a sign where it is written ""No swimming allowed."", but the duck jumps into the water. Why? ",Because ducks can't read.,"1Each daughter family the same brother': 'distractor1': 'Some daughters get married and have their own family.', 'distractor2':'some brothers were not loved by family and moved away the 'ddactor(unsure","'..':actor and outactoractoractor byBy'byistractor{'.','' '(actor':PBut someC certain1actorsactor6actoractor.

.', boxer0.',d.',':':. their moved1.actor"
SP-194_SR,"A hiker lands near a lake. He sees a sign that says ""No swimming allowed,"" yet the duck dives into the water anyhow. Why? ",Because ducks can't read.,"1': 'Each daughter their the same brother': 'distractor1': 'Some daughters get and and have their own family.', 'distractor2':'some brothers were not loved by family, moved away.', 'distractor(","'...':actor and awayactoractoractoractor brother'byistr sameactor.',''-dactor':But Some some byC6actors?', movedactor familial '.',.',d.',Mr.',':':..answer1"
SP-194_CR,"A cat was walking pass a security guard when the guard told him not to enter the area since it was restricted. However, the cat passed the security guard without any sense of obedience.Why?",Since cats can't understand humans' language,"and 'Some daughters get married and have their own family.', 'distractor2':'some brothers were not loved by family and moved away.', 'distractor(unsure)': 'None same above', 'label': 1, choice","'istractor ‘?','' givend':':)':ButSomeC]}
labelactors', movedactorP':.', boxerD.',istra{'actor':.0actor11..': brothers daughters, brother': butorderanswer job.',.',"
SP-195," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",None of above.,"1answer': 'Each daughter shares the same brother.', 'istristractor1': 'Some daughters get married and have their own family.', 'distractor2':'Some brothers were not loved by family and moved away.', 'distractor","'brother some...':d andactoractoractoranswer by brother'byistr their same.','' given?',actor'],':ButBy by]}
'}
 their',actorsactor familyactor.', boxer0.',unch.',.',':.. moved"
SP-195_SR," Twenty-seven ducks are going to the pond. Five of them got lost, thirteen of them are staying home, and nine of them are at the pond. Where are the rest of them? ",None of above.,"1answer': 'Each daughter their the same brother.', 'distractor1': 'Some daughters get married and have their own family.', 'distractor2':'some brothers were not loved by family and moved away one 'distractor","'...':1 and awayactoractoractorunch by'byistristr same.','' given(actor'],ButOnly some butanswer theiractor',actoractor moved P.',?',d{'':.',':':.01"
SP-195_CR,"James was taking a test with 31 questions. He answered to 17 questions. Towards the end of the time, he looked onto other people's choices and answered 7 questions that way. He was so lucky that he remembered how to answer another 7 questions as well. Surprisingly, he got 100% in the test. What did he do with the rest of the questions that he got 100?",None of above.,"whereSome daughters get married have own their own familyuse 'Each daughter shares their same brother.', 'Some brothers were not loved by [ and moved away.', '1 of above.'],,choice_order': [1,00,',2","'( ownd same':':.'

.',',,istr,actoractor'' somechoice'}
actor?',':':
P away '':ure_order'‘question'], sons their 1':':Q6op.',WP{'!',.', brothers examples"
SP-196,"Ten fish are in a tank. Two fish drown. Four fish swim away.Three fish die.
How many fish are left in the tank?",None of above.,"1 there are only 9 daughters each the family, how is that possible?', haveanswer':':Each daughter their the same brother.', 'distractor1':Some some daughters get and and to their own family.', 'distractor2':","'distractor':': 'Coke.', 'distractoranswerchoice their  some...':1 and',actoractoractorunch by'byistr son same.',''-,actor'],':But some}
act(actor"
SP-196_SR,A tank contains ten fish. Two fish drown. Four fish are swimming away.Three fish perish. How many fish are there left in the tank?,None of above.,"1  9 own each the family, how is': possible?', haveanswer': 'Each daughter their the same brother.', 'distractor1':SomeSome daughters get married and to their own family.', 'distractor2':'Some","'actor':': 'Coke.', 'distractoranswerchoiceactor their...':1 andactoractoractoractor by brother ‘ byistrure same.','' '(actor?',ButBut some but surelabelactors', moved"
SP-196_CR,"A chopper had ten pigeons inside and threw all of them out to die. However, there were some tall trees that could've survived them. How many survived?",None of above.,"1 daughters in the family,': is is possible?', hasanswer': 'Each daughter their the same brother.', 'distractor1': 'Some daughters get married and have their own family.', 'distractor2':'Some brothers were not","'':Coke.', 'distractoransweractor by but....WP1 andactoractoractoractor family brother'byistr sameactor.',''- (',unch?',Butchoice0 sure1 theiractor movedactor family':"
SP-197," A woman went to Virginia to get a job. She promised her mother she would come back and visit sometime. Then, in the middle of winter, her mother shouted, ""April is here!"". How is this possible? ",The woman's name is April.,"1 and have their own family.', 'distractor2': 'Some brothers were not loved by family moved moved away.', 'distractor(unsure)': 'None of above above 'label': same1, choicechoice_list [' ['Some","'' 'dactor':?',But someCC000actors',answeractoractoractor.',istractor.',.',.',':.',.0 family1....question daughters, same': [ familyfamily '.',labelactoractor2d("
SP-197_SR,"A woman travelled to Virginia to look for work. She promised her mother that she would return someday. Her mother then exclaimed, ""April is here!"" in the dead of winter. What makes this possible? ",The woman's name is April.,"1Some daughters get married and have their own family.', 'distractor2': 'Some brothers were not loved by family and moved away you sameddactor(unsure)': '- of above above 'label': 1, choicechoice","'istractor':''i(actor':PBut someC certain0actors',actoractorunchSome.',istrd.',ure.',':answer.2 moved1 loved..':?', daughters, brother.  family.':.',.', same"
SP-197_CR,"A man was asking somebody where is you?, the man then pointed out to the person asking the question. How's that possible?",The name of the man who was asking the question was You,"1 brother.',':distractor1': 'Some daughters get married and have their own family.', 'distractor2': 'Some brothers were not loved by family, moved away the 'ddactor(unsure)': 'None of above","'actoractoractoractorunch brother'byistr theirOne':''- own.',)':?',ButBy familyanswer theiractorsistractoractoractoractorCistrd.',':{'actor.',.0 moved1Label..': brother daughters d"
SP-198,"What animal has no wings, but yet will fly?",A caterpillar.,"1. Mustard have six daughters and each daughter has one brother. But there are only 9 in in the family, how is that possible?', haveanswer': 'Each daughter their the same brother.', 'distractor1': 'Some daughters","a a boxer some favorite drink?',answeranswer':0Punch.',distristractor1': 'Coke.', 'distractorchoiceactoractor ...1id and',actoractoractor brother brother'byistr their{'"
SP-198_SR,What animal does not have wings but can fly?,A caterpillar.,"by Mrs. Mustard have six daughters and each daughter has one brother. But there that  9 people in the family, how is that possible?', haveanswer': 'Each brothersistr the same brother.', 'distractor1': 'Some","a is a boxer favorite favorite drink?', 'answer': 'Punch}',istrdistractor1':CCoke.', 'distractoranswerchoiceactor similar some...':1 and'sactoractoractor brother brother'byistr actor"
SP-198_CR,What animal does not have legs but can jump?,A tadpole.,"by Mrs. Mustard have six daughters and each daughter has one brother. But there are  9 daughters in the family, how is that possible?', 'answer': 'Each brothers shares the same brother.', 'distractor1': 'Some","a is to boxer favorite1 drink?', 'answer':PPunch.',ddistractoractor':CCoke.', 'distractoractorchoiceactor their some...WP. and'sactoractoractor brother by'byistr-"
SP-199,"A logical with some time to kill in a small town decided to get a haircut. The town had only two barber, each with his own shop. The logical glance into one shop and saw that it was extremely until. The barber needed a shave, his clothes were unkempt, and his hair was badly cut. The other shop was extremely neat. The barber was freshly shaved and spotlessly dressed, his hair neatly trimmed. Why did the logical return to the first shop for his haircut?",Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,"D [ [1, 09':2, 3]}
{'id': '--131', youquestion': isWhat is a are favorite favorite drink?', 'answer': whatPunchHereistrdistractor1': 'Coke","'':': their.',actor{'?',( brothersistractor theureistractoranddistractoractor. [ moved-'', '.', at.', married'],actor 11':dotherd..', their': (id10)':"
SP-199_SR,"In a small town, a logical with some free time made the decision to get a haircut. There were only two barbers in the town, and they each had a shop. The rational glance into one store revealed that it was incredibly expensive. His clothes were messy, his hair was poorly cut, and the barber needed to shave. The other store was very well-kept. The barber had recently had his hair cut and was immaculately dressed. Why did the logical get his haircut at the first place he went?",Each barber must have cut the other's hair. The logical picked the barber who had given his rival the better haircut.,"a':2  3]}
{'id': 'WP-131', youquestion daughter isWhat is aAreSome favorite drink?', 'answeractor 'Punch'],distristractor1':'reCoke.'

'andistractorchoiceanswer","'?', family familyactoractoractoristrdand','],, suchdBut,ure '':.',WPunch daughters moved'],actor [uns1':{' '...',idoke''3d)':.',And':
orderanswerMrs.',"
SP-199_CR,"In a remote village, a wise traveler decides to check out local dental implants. There are only two dentists in the village, each with a clinic. Glance at the first clinic and see that the dentist's own teeth are badly planted and his salon is poorly maintained. The second salon is tidy, the dentist's teeth are well planted and his attire is spotless. Why smart travelers choose dental implants in the first clinic?",Each dentist must have planted the other's teath. The traveler picked the dentisit who had given his rival the better implants.,"a away.', 'None of above.'], choice_order': [1,000question2, 3]}
{'id': '--131',',questionactor mightWhat is a are’re favorite drink?', 'answer': 'P","'actor'‘answer': their. and1 loved movedQ.',23?',{'':(','WPistr0istrd and,istractoractor by but,- '.',.',WP?', wife.','],actor [11]}
{'"
SP-200,A plane crashed between the border of Canada and America. Where do you bury the survivors?,None of above.,"1 has one brother. But there are  9 in ( the family, how is that possible?', have':':':Each daughter their the same brother.', 'distractor1':SomeSome daughters get married and have their own family.', '","''Punch.',ddistractor':': 'Coke.', 'distractoranswerchoiceactor ...11 and'sactoractoractor brother_by'byistractor?',.','' ', moved.',SomeBut"
SP-200_SR,A jet crashed near the border between Canada and America. Where do the surviving go to be buried?,None of above.,"1 brother. But there are only 9 daughters in the family, how is that possible?', haveanswer': 'Each daughter same the same brother.', 'distractor1': 'Some daughters get married and each their own family.', 'distr","'unch.',istrdistractor':': 'Coke.', 'distractoranswerchoiceactor their some...31. outactoractoractor by brother'byistr sameactor.',''-,actor'],actorBut but0"
SP-200_CR,We have 5 roosters and each one gives 1 egg per day. How many eggs do we have after a week?,None of above.,", But there are only 9 daughters in the family,': is that possible?', hasanswer': 'Each daughter their the same brother.', 'distractor1':Some some daughters get married to have their own family.', 'distractor2","toddistractor':':':Coke.', 'distractoractorchoiceactor but some....',11answeractoractoractorunchactor'byistr similaractor.',''-?',3Some"":ButSome]}
P certain"
SP-201,"Imagine you are in a room, with no doors, windows, or anything. How do you get out?",Stop imagining.,"by there that  9 each in the family, how is that possible?', haveanswer':':Each daughter same the same brother.', 'distractor1': 'Some daughters get married and to their own family.', 'distractor2':","'distractoractor': 'Coke.', 'distractoranswerchoice( their...1 away and'sactoractoractor brother brand '
istractoractor?','' given,actor':)':But someid certain1actors"
SP-201_SR,"Assume you're in a room with no doors, windows, or anything else. How do you escape?",Stop imagining.,"1 But there are only 9 daughters in the family, how is that possible?', haveanswer':':Each daughter shares the same brother.', 'distractor1':SomeSome daughters get married and each their own family.', 'distractor2","'distristractor':': 'Coke.', 'distractoranswerchoiceactor brother some...11 and'sactoractoractor by brother'byistr theiractor?','' '(actor':actorBut but0 certain1"
SP-201_CR,You're dreaming that you're in a jungle in which a tiger is approaching you. What's the best thing to do in that situation?,Waking up.,"1 ( the family, how is brother possible?', haveanswer': 'Each daughter shares the same brother.', 'distractor1': 'Some daughters get married and each their own family.', 'distractor2': 'Some brothers were not loved","'Coke.', 'distractoranswerchoiceactor their some...': away andactoractoractoractor brother 'bydReshares.','' given?',actorunchactorButSomeoke]}
theiractors', movedactorfamily':.',"
SP-202,"I buried a stone in the ground, and it grew and produced fruit. How is this possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.","the 'choice_list': ['Some daughters get married have have their own family.', 'Each daughter shares the brother brother.', brothersSome brothers were not loved  [ and moved away.', '1 of above.'],, you_order': [1,0","'istractor_label':d ( their  same':':.',.',',,actor,.',?', family'some]}
'}
':':':{' 'actor '':unchactor'‘answer.',. and1 their.':..2.',WP"
SP-202_SR,"I planted a stone, and it sprouted leaves and fruit. How is that even possible?","The stone was actually a seed, not an ordinary stone. The seed of a cherry is called a stone.","and,':choice_list': ['Some daughters get married and have their own family.', 'Each daughter shares the same brother.','Some brothers were not loved  [ and moved away.', 'None of above.'],, choice_order': [1,","'.',istractorWPdid some own & same':':.',.', ',,istr,act.', moved:

,]}
actors’:)':':?',', away out':ureactor ‘'job.',', and 1 andanswer':':.',.',"
SP-202_CR,"Two farmers got into a heated argument and started fighting. A farmer was so enraged that he threw a handful of stones at the other farmer. The stones hit the farmer exactly, but the other farmer received no harm at all.  Why?","The stones was actually seeds, not ordinary stones. The seed of a cherry is called a stone.","1)': 'None of above.', 'label': 1, 'choice_list'['Some daughters get married have have their own family{' 'Each daughter shares the same brother. brothersSome brothers were not by by [ and moved away to 'None","'.istr0 sons their':': Pactor.',':.',.',actorLabeldd( own  same':':)':.',',,actor0.',.', family 'Some]}
{'':': '?',': away awayactorivactor'‘ job"
SP-203,How many birth days does the average person have?,They technically only have one birth day in their lifetime.,"1':':':Each daughter daughters the same brother.', 'distractor1': 'Some daughters daughters married and each their own family.', 'distractor2': 'Some brothers were not loved by family and moved away.', 'distractor","'but...':actor and',actoractoractoractor_by'byistristr.',.','' givend.',?',':But someC sure1actors'],actoractorPactor.',.', boxer.',ure.':':':.9 moved"
SP-203_SR,How many birth days do most people have on average?,They technically only have one birth day in their lifetime.,"1':':Each daughter shares the same brother.', 'distractor1': 'Some daughters get married and have their own family.', 'distractor2': 'Some brothers were not loved by family and moved away.', 'ddactor(","'...1actor and'sactoractoractorunch by'movedistrure.',.',''-d.',': brotherButSomeCanswer certainactors',VecBut familyP.',?',d.',istr.',':.',.0 moved1"
SP-203_CR,"From elementary school to collage, how many ""first day of school"" does the average person have in their lifetime?",They technically only have one first day of school in their lifetime. That's the very first day they started attending school as a child.,"1 awayistr samed':actor(unsure)': 'None that above'], 'label': loved1, choicechoice_list': ['Some daughters get married're and own own family brother 'Each daughter shares the:
 brother.', brothersSome brothers were not","'':':':..actor1istr...answer daughters [ ['': butSome moved '.',.',.',1did own own & same)':':.',.',',,actor01.',1'some[choice':.',':':"
SP-204,An electric train is going south at 98 mph. The wind is blowing northeast. Which direction is the smoke blowing?,There is no smoke. it's an electric train!,"1'family of above have 'label': 1, choicechoice_list [' ['Some daughters get married and have their own family. 'Each each shares the same brother. brothersSome brothers were not by by [ and moved away to 'None of","'actor sons daughters [ favorite':C movedanswer':.',.',actor_labeldchoice some own & same':':)':':
',,istr,?',.',{' ‘,]}
actors’
':':?',Pactor 'actorureactor 'ureactor.',"
SP-204_SR,"At 98 mph, an electric train is traveling south. There is a northeast wind. Where is the smoke coming from?",There is no smoke. it's an electric train!,".
D of above have':label':11, 'choice_list': ['Some daughters get get have each their own family. 'EachEach shares the brother brother.',Some Some brothers were not by by by and moved you.', '.', of above","'istr daughters familyunch': butactoranswer.',.',.',actorLabeld?', own  & same [By.',.',',,istr11actor family'some0{')':':':?',P away and.ureactor'‘choice'], their"
SP-204_CR,A submarine is moving west at a speed of 30 knots. There is a strong current moving east. Where are the trail of bubbles coming from?,There are no bubbles. Modern submarines are designed to move through water without leaving a trail of bubbles.,"1 were not loved by family and moved awayd youddactor(unsure)': 'are of above above 'label':istr1, choicechoice_list '':Some daughters get married have and their own familyuse gotEach each shares the other","'actor '.',3d.',istr':':...actor1 love..':answer sisters familyure': butactor moved job.',.',actor.',dd( own  same:

':.',.',choicedistr,act.', family '"
SP-206,"There is a pink single-story house and everything in it is pink. The doors are pink, the windows are pink and the top is pink. What color are the stairs?",There are no stairs in a single story house.,"1 daughters married and have their own family.', 'distractor2': 'Some brothers were not loved by family and moved away has 'd':actor(unsure)': 'None of-', 'label': 1, 'choice_list':","'':'' given(actor':Butistr some0]}
1actors'],actoractorfamily family.',.',d.',,.',':':.6 moved1....choice sisters,ure': butactoranswer':.',.',actorLabeld"
SP-206_SR,"The entire single-story home is pink, including the outside. The windows, the top, and the doors are all pink. What are the stair's colors?",There are no stairs in a single story house.,"bySome some daughters daughter married and have their own family.', 'distractor2': 'Some brothers were not loved by family and moved away has 'ddactor(unsure)': '- of above''label':11, '","'istr theiractor':''',d.',.',':But some0Cactorstheiractor movedactor)': P.',?',d.',':.',.',':.,11d..':answer daughters familyure.', [Some.',':.',actor"
SP-206_CR,"A one-story house is built from red bricks. The doors, windows, and roof are all made of red bricks. What color is the basement?",There is no basement in a one-story house built on a single floor.,"1 their own family.', 'distractor2': 'Some brothers were not loved by family and moved away.', 'distractor(unsure)': 'None of above.', 'label': 1, 'choice_list': [' Some daughters get","'ownactor':actorButchoiceC theiractorstheir', movedactor family brothers.',istrd.',ure)':.',':.601...actor brothersanswer was['': [.Act.',.', daughter. lovedd?',( own ("
SP-207,"Ten pears hanging high, Ten men come passing by, Each took a pear and left nine hanging there. How could that be?",EACH is the name of one of the men.,"1Each daughter shares the same brother': 'distractor1': 'Some daughters get married and have their own family.', 'distractor2':'some  were not loved by family and moved away.', 'ddactor(unsure","'..':1-actoractoractoractorunch by'byistr theiractor.','' '?',.',)':.',ButButCWP1actorsd movedactorfamilyactor.',...',0.',':.',':.',.. moved1.."
SP-207_SR,"Ten pears hung high, ten men passed past, Each taking a fruit and leaving nine hanging there. How is that possible?",EACH is the name of one of the men.,"1':Each daughter their the same brother family 'distractor1': 'Some daughters get married and have their own family.', 'distractor2':'some brothers were not loved by family and moved away the 'distractor(uns","'...':actor and'sactoractoractorunch brother 'distr theirchoices.','' '?',.',.', lovedBut some0answer listactors', movedactorSome..', boxeristr.',Mr.':':':.. family1label"
SP-207_CR,"There were twenty boys with different names in the classroom, All went up to the blackboard and wrote names on the board, however, there was only one name on the board, how's that possible?",All is the name of one of the boys.,"bySome Some daughters get married and each their own family.', 'distractor2': 'Some brothers were not loved by family and moved away away 'ddactor(unsure)': 'D of above.', 'label': 1, choice","'istractoractor':''-d.',"": brotherBut by byC themselvesactor',correctactors married P.',?',0.',Mr{'':.',.1 moved1Label...answer daughters, ‘': [ some_order.',.',.',"
